text,expected,predicted
"Если судья принимает неправильное решение, вы можете его отменить в вышестоящем суде. Можно дойти вплоть до ЕСПЧ. Такая система позволяет с одной стороны гарантировать право граждан на правосудие, т.к. даже низкая квалификация судьи (обычно справедливо для мирового суда) не сможет помешать установлению законности, т.к. его неправильное решение будет отменено. С другой стороны, эта система позволяет судье рассматривать дело руководствуясь только законом и не принимать во внимание тот факт, что одна из сторон - большой человек в городе и обещал обрушить на мою голову кару за неверное решение, т.к. наказать судью за неверное решение по закону в принципе нельзя.
",0.0,0.0
"Пятачок, это какая-то не правильная сова
",1.0,0.0
"Сразу вопрос. Какая по твоему национальная идея России? И вообще, у тебя странная, двуличная, мораль. Он сказал про нац. идею России. Ты в ответ оскорбляешь его. Так это работает в твоей голове? Вот если бы ты вступил с ним в полемику - пусть даже заочную - и написал бы, как есть на самом деле. То да, ты бы мог рассуждать о морали и человеческих принципах.
",0.0,1.0
"Министерство по управлению в чрезвычайных ситуациях было создано в КНР в марте 2018-го года.
",0.0,0.0
"все иностранные дипломаты прям ангелы - хуйня это все.
",0.0,0.0
"Мой коммент - ответ на другой коммент. Это видно прямо на мониторе. Ответ по теме. А Ваше выступление - выезд на лыжах из... не знаю уж откуда. Но лучше Вам туда вернуться.
",1.0,0.0
"Политика это вообще один большой фейспалм, стадо пидоров, наебывающих друг друга.
",1.0,0.0
"doc6cviyl9oc39b Ну что за позорище. Ты сам присмотрись, СИНТЕТИЧЕСКАЯ КУРТКА SRYNKA aka МУСОРНЫЙ МЕШОК , наверное ещё шуршит так забавно и блестит.
",1.0,1.0
"Ммм... несколько видов колес, валы, редукторы, благодаря псевдо-гусеницам все отлично забивается землей... Мечта автосервиса. Без работы не останутся.
",0.0,0.0
"Чтобы люди угадывали где микроволновка, а где телевизор.
",0.0,0.0
"Я в какую-то настолку играла примерно с таким же сюжетом... тоже Англия, 18-19 век, магия, которая была разделена на несколько направлений. Может, кто подскажет, что за мир-правила вроде Гурпс или нет, плохо помню.
",0.0,0.0
"Последнее время мужики прямо бегут к месту, особенно с 20-40 лет, я прямо умиляюсь) сама никогда не сажусь, так проще и никого ни в чем обвинять не придется)
",0.0,0.0
"Там кстати были планы сделать подогрев плитки,что бы ногам не холодно было. Но вот не знаю сделали или нет. А насчёт пучений,третий год стоит ,все норм. Да и мы приезжали на готовый фундамент.
",0.0,0.0
"Канонiчную проводницу туда ещё. А так идея класс. С подсветкой хорошая задумка.
",0.0,0.0
"через беларусь объёмы нарастят?
",0.0,0.0
"Не кажется, она там выполняет роль защиты кабеля от порезов. Далее он идёт в металлических лотках, а на выходах из лотков одевается в ПВХ изоляцию до самого светильника.
",0.0,0.0
"Вот что дали хохлы Крыму за 25 лет украинской независимости? Таблички с названием улиц и населенных пунктов на украинском языке? Учили русских детишек потешному маняязыку? Заставляли любить далёкого киевского Пана? Нет, хохолики, всему есть предел. Теперь будете за это платить и каяться.
",1.0,0.0
"Какие же вы тугие. ДА НЕ БЕРУТ В МОСКВУ С ПЛОХИМИ АНАЛИЗАМИ! Вот ебучая истина. Туда привозят уже стабильных больных и эти светила уже что то лечат. К нам привозят умирающих мам, которых трогать страшно, а потом мы суки. Идите в пень.
",1.0,0.0
"А смайликов Овца разве нет?
",1.0,0.0
"Кстати сейчас цех запускаем как раз с стх310 и стх510. Неплохие станки.
",0.0,0.0
"по асфальту это да, износ очень быстрый, а цена гуслей запредельная(
",0.0,0.0
"может быть и Беслан и Норд Ост,но ты так и не сказал,пидорандель, это ДРУГОЕ, эуропэйское, или то же самое?
",1.0,1.0
"Я не успел купить билет, меня начали выгонять сразу же. Купить билет это приложить тройку ещё раз. Речь об этом не шла у водителя, он просил выйти и точка, никаких компромиссов.
",0.0,0.0
"Один из наших пунктов ггс находится в яме. Там натурально яма глубиною где-то метра полтора и торчит штырь. Наш инженер когда ездил туда зимой, то сперва в эту яму чуть не провалился. Жесть.
",0.0,0.0
"спасибо, у меня там дверь прям рядом...которая не закрывается, бытовка малюсенькая, а другую надо разобрать...и там устроится. ) В общем пришлось теснится на малюсеньком столике.
",0.0,0.0
"Спасибо. Я в курсе что масло- масляное.
",0.0,0.0
"Пустоту тебе сфотографировать?)
",0.0,1.0
"А бандиты там как, понты любят?
",1.0,0.0
"Какой безопасный тренажёр, уверен что ничего не случится если он остановиться
",0.0,0.0
"Это не выглядит как пицца. Ну как сосисочный пирог, ещё может быть.
",0.0,0.0
"Нельзя же вроде добавлять. А так да, надо бы концовку. Надо бы ещё вчера, но телефон подыхать стал.
",0.0,0.0
"Чем плох бешамель на сливках? Всегда так делаю. Только муку вначале сушу на сухой сковороде.
",1.0,0.0
"Конечно, это резонансное событие требует отдельного треда для обсуждения и 19 тредов до этого шло обсуждение. Тред назывался нейтрально Рассстрел мусульман в новозеландской мечети . Но сегодня ОП, по совместительству борец за Арийскую Раssy и мамкин фашик назвал его в честь стрелка KEBAB REMOVER(англ. уничтожитель чурок ) и с утра пораньше решил в ОП-посте(заголовке треда) обозначить тред, как героизирующий(в первом треде) и оправдывающий(в третьем треде) терракт этого стрелка. Пик стронгли релейтед. 20 тред. В третьей строке заголовка ОП восхваляет и героизирует террориста, цитирую заголовок: KEBAB REMOVER тред 20 Продолжаем пиздеть тут. Слава Герою! Я репортил тред в форме репорта и в прикрепе в d , реакции никакой. Видимо, школомодеры сами симпатизируют нацизму и закрывают на это глаза. 21 тред. После того, как я пригрозил ему репортом, в этот раз мамкин фашик, убирает строку про героя и зачем-то вместо неё ставит нацистское приветствие дивизии СС Галичина. KEBAB REMOVER тред 21 Продолжаем пиздеть тут. Слава Украiнi! 22 тред. В этот раз тот же остроумный ОП поставил на третью строчку PRESS R TO PAY RESPECT!(англ. Нажмите R, чтобы выразить уважение!) т.е. уважение стрелку за то, что он совершил терракт. Еще он выделил жирным шрифтом предложение Именно эту мечеть он выбрал потому, что на её месте раньше находилась церковь. , будто то бы для оправдания стрелка. KEBAB REMOVER тред 22 Продолжаем пиздеть тут. PRESS R TO PAY RESPECT! Эти действия подпадают под конкретные статьи УК РФ, (публичное оправдание терроризма или пропаганда терроризма), а модерация никак не трёт такие заголовки треда, не реагирует на репорты. Да, я понимаю, что на Дваче возможна любая точка зрения, но хотя бы шапка треда должна быть нейтральной и уж точно не должна оправдывать и героизировать терроризм фашизм и не нарушать законодательство. Такое название треда автоматически собирает в нём нацистскую падаль и сворачивает обсуждение в сторону фашистской идеологии.
",0.0,0.0
"Летс ролл бойз! ШМАЙСЕР ГЛУШКО ГРЕТТРУП ПЕРШИНГ СИКОРСКИЙ АХМАТОВА БУЛГАКОВ БУНИН СОЛЖЕНИЦЫН БЕЛЕНКО МАСК ПАТТОН
",1.0,1.0
"Она не касалась писи козла..вон свидетели даже есть
",1.0,0.0
"в отделку по хорошему еще около трех млн басик с оборудованием итого почти 120
",0.0,0.0
"Танцует красиво. Потом возводимый объект так же красиво развалится.
",0.0,0.0
"В США банки до сих пор по старым векселям платят и погашают счета открытые 150 лет назад, причём и банки не из топ пять, а так, региональные, но платят исправно, доллар уже сколько лет держится молодцом. Что не так с банковской системой в России?
",0.0,0.0
"Тогда просто осуществляется обещанное и девочке гарантирован отличный секс от руководства
",0.0,1.0
"а для меня самая дикость это вес 90 грамм, плитка шоколада это 100 грамм, принципиально не купил бы от этого производителя.
",0.0,0.0
"бензин мгновенно и очень жестко не дорожает. Иногда по чуть чуть прибавляют иногда стоит, иногда чуть резче вверх. Бывает накинут сразу рубль, но это не повод для акций в защиты своих прав. Я купил машину 4 года назад, тогда полный бак мне обходился - 1400 сейчас -1800 если с лампочкой на заправку приехать. Я не в восторге, но на барикады из-за этого не пойду.
",0.0,0.0
"ну мы тоже не лаптем щи хлебаем. малость повидали, еще меньше делали :-) вообще описаны действия при стандартной и вменяемой разводке сети в гаражных боксах. варианты когда линия на весь ряд боксов проложена армейским коаксиальным кабелем, а вместо распаек консервные банки, по одной на 3 бокса в расчет не брались :-)
",0.0,0.0
"Собаки ебаные твари нахуй они нужны где отлов бродячих псов
",1.0,1.0
"Ещё один враг народа сдох, как же хорошо!
",1.0,0.0
"Шок, Сралик получил по лысине мясными обрезками!
",1.0,0.0
"Екатеринбург знаю только что в нем жил Гена Букин и сериал и город заочно очень нравился.
",0.0,0.0
"Да, последнее время творится какая-то жесть.
",0.0,0.0
"Не Питер ли?) До боли знакомая цифра 424
",0.0,0.0
"Шизик опять возбудился, требуется очистка.
",1.0,0.0
"вот потому я и перешел на европейцев американцев. У них, правда нсть другие статьи расходов, но в целом получается дешевле
",0.0,0.0
"Кстати, а почему Тред на хрюче, а не в Фаге?
",1.0,0.0
"Хотел тоже самое на оф форуме написать (только без упоминания негров, там модеры такое не любят), вот только меня забанили. Свобода слова)
",1.0,0.0
"Все мечтаю открыть магазин по продаже бонгов и трубок, подскажите, не закроют ли меня на следующий день?
",0.0,0.0
Вопрос для пикабушных математиков.,0.0,0.0
"тогда свастика еще не была символом нациков
",1.0,0.0
"А я не в валенках на работу приходил, когда туда ходил. Там, где нужны унты или валенки - вопросов нет, там самим же удобнее сменку таскать. А вот там, где до школы 10 минут пешком, или передвигаешься от транспорта до транспорта, там и обувь полегче, как правило.
",0.0,0.0
"Меня зови , я со своими дружками дембелями после поллитры очень их люблю , ссыкунов сраных
",1.0,0.0
"нет в банковском деле такого понятия как рассрочка. Любая рассрочка, предоставляемая банком, это кредит, проценты по которому платит магазин, а основную сумму (тело кредита) - покупатель. Но если покупатель хоть раз проебется с датами платежа - усе, приехали, штрафные санкции, запоротая кредитная история. И всегда читайте и осмысливайте то, что подписываете.
",0.0,0.0
"А девушка в ахуе, тк ты её назвал доской, вы живёте в центре города и ты ходишь с топором
",1.0,1.0
"Это ЕЩ один полноценный проект по созданию по сути 3-х самолётов. А у нас уже сколько лет Сушка в серию выйти не может? Я в школе ещё учился она там испытания проходила и до сих пор нихера.
",0.0,0.0
"Причем тут Сталин и его двойник во времена капитализма? Пиздуй вообще Парашенки своему очко лизать, дегенерат ебаный.
",1.0,0.0
"Если на то уж пошло, то грудные мышцы, грубо говоря, должны локоть переместить из позиции сбоку от туловища, в позицию перед собой. За это движение в большей степени отвечают дельты. Аналогично поднятию гантелей перед собой
",0.0,0.0
"Я вот и спрашиваю) Люди часто избегают работы с необычным или непривычным. Та же страховая может сказать мы такое не страхуем или слиться под другим предлогом
",0.0,0.0
"И как ощущения? В жизни без изменений ?
",0.0,0.0
"До второй мировой фашизм был очень в моде.
",1.0,0.0
"Я тоже в этой области работал, получил разряд по ультразвуку, но зарплата оставляла желать лучшего. А так ультразвук очень интересная вещь, жаль на фазированных решетках не поработал
",0.0,0.0
"До чего Путин страну довёл! Пидорахи звереют каждым дне... Упс, это другое.
",1.0,0.0
"А вот ща стало интересно как именно выглядели те сурьезные бумаги и как по факту оплатили. Повангую что схема оплаты там мутная чтобы нельзя была сделать чарджбек.
",0.0,0.0
"Мои клиенты в обязательном порядке подписывают отказ от конкуренции минимум на два года. Это мировая практика. Я дорожу много летней репутацией и принимаю все меры, чтобы соблюсти интересы покупателей..
",0.0,0.0
"Стёб дураков, выдаваемый за искусство
",1.0,1.0
"Хохлы массово выписываются из украинцев, теперь же не модно быть нацменом. Господа украинцы, если согласны - рейджуем, не стесняемся.
",1.0,0.0
"Точное моё описание. Зато даёт хороший подход к покупкам.
",0.0,0.0
"А пенопласт и высокие температуры нагрева металла смогут подружиться? Бред, другой мой
",0.0,0.0
"Обычная становая, ну разве что присесть поглубже надо. Любой, полгода занимающийся в зале, мужчина осилит.
",0.0,0.0
"При всем уважении к автору Это же не рисование, это обводка, максимум срисовка. Начинать с этого плохо и не продуктивно, не надо так. Полистайте книги для начинающих, порисуйте стадики с натуры, разберитесь с построением или просто не называйте то что вы делаете рисованием
",0.0,0.0
"Тогда нужно должность сократить, а потом полгода на неё никого нельзя брать
",0.0,0.0
"Могу ошибаться, но по итогу истории она не умерла и ближе к концу появилась.
",0.0,0.0
"Да в китай сжриснуть можно и без дирижабля
",0.0,0.0
"Все нормально, там плавкая вставка)
",0.0,0.0
"Речь не про египет. А вообще про древние постройки.
",0.0,0.0
"Я не семь лет грызла дерево науки, но училась на садовника и цветовода.)
",0.0,0.0
"Брендовые товары почти все под заказ, возможно в тц только их производство и Китай, я не знаю
",0.0,0.0
"Была и со мною такая беда. Открываю дверь на газельке, она движется по направляющей вбок и тупо отваливается. Ну а хрена мне, постоял, посмотрел и уехал на автобусе. Водила даже не возмущался, видимо не впервой.
",0.0,0.0
"тебе хоть платят или ты из-за шизофрении постишь?
",1.0,1.0
"Ух, в таком случае, Альфия можно в Вас войти?",1.0,0.0
25 лет в Копейске прожил.,0.0,0.0
"ОТКУДА У НЕГО В КОММЕНТАРИЯХ СТОЛЬКО СОВКОВ БЛЯДЬ Я НЕ ОДОБРЯЮ КРИТИКУ ЛЕВАЧЕСТВА.
",1.0,1.0
"Там хохлов, больше чем тебя.
",1.0,1.0
"настолько посрать, что ты не представляешь - на сколько))",0.0,1.0
"13 часов заряжаются, 1 час обслуживание , 10 часов работы (максимум). Те эффктивность использования 40 - как то не по капиталистических. Почему ушли от идеи сменного аккумулятора? Тесла ведь изначально так планировала делать? А на городском коммерческом транспорте это вообще прям правильно.
",0.0,0.0
